"SUJETO","SEXO","EDAD","AÑOSDEESTUDIO","INGRESOS","LOCALIDADPROCEDENCIA","LOCALIDADDERESIDENCIA","BARRIO","EDADLLEGADAMÁLAGA","TIEMPORESIDENCIA","OCUPACIÓN","OCUPACIÓNPADRE","OCUPACIÓNMADRE","ESTUDIOSPADRE","ESTUDIOSMADRE","CLASEFAMILIA","LIBROSAÑO","PRENSALOCAL","PRENSANACIONAL","TVNOTICIAS","TVCORAZÓN","RADIO","BUSQUEDASENINTERNET","CHAT…","JUEGOS","BAJARDEINTERNET","TOTALHORASINTERNET","CASADO","ORIGENCÓNYUGE","NÚMERODEHIJOS","EDADHIJO1","EDADHIJO2","EDADHIJO3","EDADHIJO4","EDADHIJO5","EDADHIJO6","EDUCACIÓNHIJO1","EDUCACIÓNHIJO2","EDUCACIÓNHIJO3","EDUCACIÓNHIJO4","EDUCACIÓNHIJO5","EDUCACIONHIJO6","RESIDENCIAHIJO1","RESIDENCIAHIJO2","RESIDENCIAHIJO3","RESIDENCIAHIJO4","RESIDENCIAHIJO5","RESIDENCIAHIJO6","COMPAÑEROSDETRABAJO","AMIGOS","PARIENTES","VECINOS","MÁSDEUNARELACIÓN","SEXOSUJETO1","SEXOSUJETO2","SEXOSUJETO3","SEXOSUJETO4","SEXOSUJETO5","SEXOSUJETO6","SEXOSUJETO7","SEXOSUJETO8","SEXOSUJETO9","SEXOSUJETO10","SEXOSUJETO11","SEXOSUJETO12","SEXOSUJETO13","SEXOSUJETO14","EDADSUJETO1","EDADSUJETO2","EDADSUJETO3","EDADSUJETO4","EDADSUJETO5","EDADSUJETO6","EDADSUJETO7","EDADSUJETO8","EDADSUJETO9","EDADSUJETO10","EDADSUJETO11","EDADSUJETO12","EDADSUEJTO13","EDADSUJETO14","ORIGENSUJETO1","ORIGENSUJETO2","ORIGENSUJETO3","ORIGENSUJETO4","ORIGENSUJETO5","ORIGENSUJETO6","ORIGENSUJETO7","ORIGENSUJETO8","ORIGENSUJETO9","ORIGENSUJETO10","ORIGENSUJETO11","ORIGENSUJETO12","ORIGENSUJETO13","ORIGENSUJETO14","OCUPACIONSUJETO1","OCUPACIONSUJETO2","OCUPACIONSUJETO3","OCUPACIONSUJETO4","OCUPACIONSUJETO5","OCUPACIONSUJETO6","OCUPACIONSUJETO7","OCUPACIONSUJETO8","OCUPACIONSUJETO9","OCUPACIONSUJETO10","OCUPACIONSUJETO11","OCUPACIONSUJETO12","OCUPACIONSUJETO13","OCUPACIONSUJETO14","TIPODERELACIÓNSUJETO1","TIPODERELACIÓNSUJETO2","TIPODERELACIÓNSUJETO3","TIPODERELACIÓNSUJETO4","TIPODERELACIÓNSUJETO5","TIPODERELACIÓNSUJETO6","TIPODERELACIÓNSUJETO7","TIPODERELACIÓNSUJETO8","TIPODERELACIÓNSUJETO.","TIPODERELACIÓNSUJETO10","TIPODERELACIONSUJETO11","TIPODERELACIONSUJETO12","TIPODERELACION13","TIPODERELACIONSUJETO14","EDUCACIÓNSUJETO1","EDUCACIÓNSUJETO2","EDUCACIÓNSUJETO3","EDUCACIÓNSUJETO4","EDUCACIÓNSUJETO5","EDUCACIÓNSUJETO6","EDUCACIÓNSUJETO7","EDUCACIÓNSUJETO8","EDUCACIÓNSUJETO.","EDUCACIÓNSUJETO10","EDUCACIÓNSUJETO11","EDUCACIÓNSUJETO12","EDUCACIONSUJETO13","EDUCACIÓNSUJETO14","RESIDENCIASUJETO1","RESIDENCIASUJETO2","RESIDENCIASUJETO3","RESIDENCIASUJETO4","RESIDENCIASUJETO5","RESIDENCIASUJETO6","RESIDENCIASUJETO7","RESIDENCIASUJETO8","RESIDENCIASUJETO.","RESIDENCIASUJETO10","RESIDENCIASUJETO11","RESIDENCIASUJETO12","RESIDENCIASUJETO13","RESIDENCIASUJETO14","FRECUENCIAREUNIÓNSUJETO1","FRECUENCIAREUNIÓNSUJETO2","FRECUENCIAREUNIÓNSUJETO3","FRECUENCIAREUNIÓNSUJETO4","FRECUENCIAREUNIÓNSUJETO5","FRECUENCIAREUNIÓNSUJETO6","FRECUENCIAREUNIÓNSUJETO7","FRECUENCIAREUNIÓNSUJETO8","FRECUENCIAREUNIÓNSUJETO.","FRECUENCIAREUNIÓNSUJETO10","FRECUENCIAREUNIÓNSUJETO11","FRECUENCIAREUNIÓNSUJETO12","FRECUENCIAREUNIONSUJETO13","FRECUENCIAREUNIONSUJETO14","FAVORASUJETO1","FAVORASUJETO2","FAVORASUJETO3","FAVORASUJETO4","FAVORASUJETO5","FAVORASUJETO6","FAVORASUJETO7","FAVORASUJETO8","FAVORASUJETO.","FAVORASUJETO10","FAVORSUJETO11","FAVORSUJETO12","FAVORSUJETO13","FAVORSUJETO14","COMOVEASUJETO1","COMOVEASUJETO2","COMOVEASUJETO3","COMOVEASUJETO4","COMOVEASUJETO5","COMOVEASUJETO6","COMOVEASUJETO7","COMOVEASUJETO8","COMOVEASUJETO.","COMOVEASUJETO10","COMOVEASUJETO11","COMOVEASUJETO12","COMOVEASUJETO13","COMOVEASUJETO14","FAVORIMPORTANTEACOMPTRAB","FAVORIMPORTANTEAVECINOS","FAVORIMPORTANTEAMIGOS","FAVORIMPORTANTEAMÍNTIMOS","FAVORIMPORTANTEPARIENTES","FAVORIMPORTANTEMASUNARELAC","SATISFACCIONRED","PERSONASQUETRATASON","SECONOCENENTRESÍ","SETRATANENTRESÍ","DENSIDAD1","DENSIDAD2","DENSIDAD3","DENSIDAD4","DENSIDAD5","DENSIDAD6","DENSIDAD7","MULTIPLICIDAD1","MULTIPLICIDAD2","MULTIPLICIDAD3","MULTIPLICIDAD4","MULTIPLICIDAD5","MULTIPLICIDAD6","FUERZAVÍNCULOS1","FUERZAVÍNCULOS2","FUERZAVÍNCULOS3","FUERZAVÍNCULOS4","MODERNIDAD1","MODERNIDAD2","MODERNIDAD3","MODERNIDAD4","MODERNIDAD5","MODERNIDAD6","UTILIDADRED1","UTILIDADRED2","UTILIDADRED3","SOLUCIÓNDEPROBLEMAS1","SOLUCIÓNDEPROBLEMAS2","SOLUCIÓNDEPROBLEMAS3","SOLUCIÓNDEPROBLEMAS4","HACERLACAMA","FREGARPLATOS","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","TOTALdepalabras"
"060",0,41,8,".",4,1,"11","15",25,2,2,1,"06","07",1,2,3,3,4,0,4,"00","00","00","000","000",1,1,2,"06","05","..","..","..","..",0,0,".",".",".",".",1,1,".",".",".",".",2,1,3,1,0,0,0,0,0,1,0,0,".",".",".",".",".",".",".",42,46,42,68,33,38,50,"..","..","..","..","..","..","..",".",5,5,".",".",".",".",".",".",".",".",".",".",".",2,2,2,2,2,1,".",".",".",".",".",".",".",".",4,4,2,1,1,1,3,".",".",".",".",".",".",".",2,0,2,1,0,0,0,".",".",".",".",".",".",".",5,3,5,5,1,4,0,".",".",".",".",".",".",".",6,6,6,0,1,1,".",".",".",".",".",".",".",".",1,2,1,1,1,1,2,".",".",".",".",".",".",".",2,1,1,2,2,2,1,".",".",".",".",".",".",".",0,0,0,0,1,0,1,2,1,1,1,1,0,1,1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",14,18,19,16,19,20,18,16,19,13,20,18,14,18,16,13,15,7,20,16,"329"
"061",1,47,4,4,1,1,"40","..",47,1,1,1,"08","10",2,2,1,0,2,3,3,"..","..","..","…","…",1,1,2,"22","18","..","..","..","..",4,2,".",".",".",".",1,1,".",".",".",".",0,3,3,3,0,0,1,1,1,1,1,1,".",".",".",".",".",".",".",56,48,"..",40,"..",54,"..","..","..","..","..","..","..","..",1,1,".",1,".",1,".",".",".",".",".",".",".",".",1,1,".",1,1,1,".",".",".",".",".",".",".",".",2,2,2,1,1,1,3,".",".",".",".",".",".",".",2,2,1,5,2,2,1,".",".",".",".",".",".",".",0,0,3,3,4,3,0,".",".",".",".",".",".",".",5,6,5,4,3,2,3,".",".",".",".",".",".",".",1,1,1,1,1,1,1,".",".",".",".",".",".",".",2,2,2,2,4,1,2,".",".",".",".",".",".",".",".",".",".",".",".",".",2,1,2,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,".",".",1,".",".",".",".",2,2,12,10,7,15,13,4,12,12,5,12,7,8,7,17,10,8,6,3,11,21,"200"
"062",0,44,12,4,3,1,"19","06",38,2,2,1,"04","04",2,1,3,2,2,4,1,"02","00","00","000","002",1,".",1,"12","..","..","..","..","..",1,".",".",".",".",".",1,".",".",".",".",".",2,3,2,2,0,0,0,0,0,0,1,1,0,1,".",".",".",".",".",35,52,38,68,42,39,"..","43","40","..","..","..","..","..",1,1,4,1,5,5,".",1,1,".",".",".",".",".",2,2,1,4,1,1,".",2,1,".",".",".",".",".",2,2,1,2,".",".",3,2,1,".",".",".",".",".",3,4,1,5,".",2,".",5,5,".",".",".",".",".",3,5,3,2,5,0,0,4,3,".",".",".",".",".",6,1,1,2,1,3,3,1,1,".",".",".",".",".",1,1,1,1,1,1,1,1,1,".",".",".",".",".",3,3,3,1,3,3,3,3,3,".",".",".",".",".",2,2,3,4,2,4,2,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,4,2,2,1,1,1,2,3,3,30,27,19,17,33,19,20,23,16,24,31,21,14,30,29,21,28,22,20,23,"467"
"063",0,43,10,3,2,2,"..","11",32,1,1,1,"01","00",1,2,2,2,2,0,4,"01","00","00","000","001",1,1,3,"18","14","11","..","..","..",2,1,0,".",".",".",1,1,1,".",".",".",3,3,3,3,0,1,1,1,0,1,0,0,0,1,1,".",".",".",".",46,32,40,43,31,49,38,"34","54",32,"..","..","..","..",3,1,1,1,2,2,2,1,2,1,".",1,".",".",2,2,2,1,2,1,1,1,1,3,2,4,".",".",4,4,4,2,2,2,1,1,1,1,".",".",".",".",2,2,2,1,2,3,3,3,2,5,".",".",".",".",5,5,4,3,3,3,5,4,5,1,".",".",".",".",5,5,5,2,0,4,4,3,1,6,".",".",".",".",1,1,2,1,1,1,1,1,1,1,".",".",".",".",1,1,1,2,1,4,3,3,2,4,".",".",".",".",2,0,1,0,3,0,2,2,2,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,2,1,1,1,2,3,3,12,11,17,23,25,18,22,9,12,18,18,24,15,18,20,27,15,9,14,23,"350"
"064",1,21,4,".",1,1,"..","..",21,".",".",".","..","..",3,1,0,0,0,4,".","..","..","..","…","…",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",1,1,0,0,0,1,1,1,0,1,1,".",".",".",".",".",".",".",".",52,53,32,31,27,53,"..","..","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",3,".",".",".",".",".",".",".",".",".",".",".",".",".",2,0,3,3,2,2,".",".",".",".",".",".",".",".",0,1,2,2,3,0,".",".",".",".",".",".",".",".",6,6,6,6,4,6,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",2,2,2,2,2,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",2,1,3,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,3,1,2,1,1,1,2,2,2,2,6,7,4,9,6,6,7,5,5,6,4,5,13,6,7,3,5,12,4,"122"
"065",1,22,4,2,1,1,"38","..",22,1,1,1,"08","04",1,1,1,1,3,1,4,"06","02","00","006","014",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",0,2,1,0,0,1,1,1,".",".",".",".",".",".",".",".",".",".",".",25,30,27,"..","..","..","..","..","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1,1,1,".",".",".",".",".",".",".",".",".",".",".",2,1,1,".",".",".",".",".",".",".",".",".",".",".",2,3,2,".",".",".",".",".",".",".",".",".",".",".",3,5,3,".",".",".",".",".",".",".",".",".",".",".",6,5,2,".",".",".",".",".",".",".",".",".",".",".",1,1,2,".",".",".",".",".",".",".",".",".",".",".",1,3,2,".",".",".",".",".",".",".",".",".",".",".",0,0,0,0,2,1,3,1,3,3,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,2,".",1,1,2,1,2,2,2,2,15,17,10,12,8,11,16,8,12,14,12,12,12,21,12,13,14,11,12,"244"
"066",0,55,4,1,1,1,"36","..",55,2,".",".","00","00",1,1,2,1,4,".",4,"01","00","00","000","001",1,4,2,"26","22","..","..","..","..",5,4,".",".",".",".",1,1,".",".",".",".",2,3,3,2,0,0,0,0,0,0,0,".",".",".",".",".",".",".",".",50,41,"..",58,"..",58,"..","..","..","..","..","..","..","..",1,1,".",1,".",1,".",".",".",".",".",".",".",".",2,2,".",1,".",1,".",".",".",".",".",".",".",".",1,4,2,1,2,2,".",".",".",".",".",".",".",".",2,2,2,0,3,2,".",".",".",".",".",".",".",".",3,4,2,3,4,3,".",".",".",".",".",".",".",".",6,0,3,6,3,3,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",3,3,2,4,2,2,".",".",".",".",".",".",".",".",0,0,0,0,3,0,2,1,3,3,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,4,1,1,2,2,2,2,2,2,6,5,9,9,10,10,9,12,2,7,6,11,8,5,12,10,4,6,9,9,"159"
"067",0,54,13,4,2,2,"03","16",38,3,2,1,"06","04",2,4,4,2,4,3,1,"03","00","00","001","004",1,1,2,"26","20","..","..","..","..",5,3,".",".",".",".",1,1,".",".",".",".",3,4,4,4,0,0,0,0,0,0,0,1,1,0,0,".",".",".",".",54,56,54,54,60,48,44,"49","58",24,"..","..","..","..",4,4,3,2,2,1,1,1,1,1,1,3,".",".",3,3,3,3,2,3,2,2,3,1,2,1,".",".",4,4,4,2,1,1,1,1,2,3,".",".",".",".",4,4,4,4,3,3,5,3,4,3,".",".",".",".",5,5,5,5,5,4,5,4,1,2,".",".",".",".",6,6,5,1,2,3,6,6,4,3,".",".",".",".",1,1,1,1,1,1,1,1,1,1,".",".",".",".",3,4,1,2,2,2,3,3,4,2,".",".",".",".",3,2,4,2,4,4,3,6,2,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,3,3,1,".",".",".",".",1,3,29,19,16,15,25,10,22,21,12,21,9,15,16,19,14,23,29,21,15,23,"374"
"068",0,54,13,3,4,1,"24","16",38,3,2,1,"10","05",1,2,3,0,4,3,4,"01","00","01","000","002",1,1,1,"28","..","..","..","..","..",4,".",".",".",".",".",1,".",".",".",".",".",2,5,4,2,0,0,0,0,0,0,0,0,0,0,1,".",".",".",".",47,54,67,63,56,63,57,"48","30",24,"..","..","..","..",3,1,1,1,4,1,2,2,4,3,1,".",".",".",3,3,1,1,3,1,1,1,1,1,1,".",".",".",2,2,1,1,4,2,2,2,1,1,".",".",".",".",5,4,3,2,4,2,3,2,3,3,".",".",".",".",0,5,4,4,4,2,5,5,4,4,".",".",".",".",3,5,3,2,1,3,4,4,2,2,".",".",".",".",1,1,1,1,2,1,2,2,1,2,".",".",".",".",4,3,3,3,4,1,3,1,2,2,".",".",".",".",1,1,1,1,3,0,2,6,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,2,1,2,2,2,2,2,3,30,25,21,20,28,18,18,22,14,23,26,21,17,29,21,20,25,22,26,24,"450"
"069",0,35,4,2,1,1,"04","..",35,1,".",1,"00","00",2,0,3,1,3,2,1,"..","..","..","…","…",2,".",0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,2,1,2,1,0,0,0,1,1,1,0,".",".",".",".",".",".",".",37,40,49,30,45,48,23,"..","..","..","..","..","..","..",1,1,1,1,1,4,1,".",".",".",".",".",".",".",1,1,1,2,1,2,".",".",".",".",".",".",".",".",5,4,4,2,1,3,3,".",".",".",".",".",".",".",1,2,1,3,0,2,5,".",".",".",".",".",".",".",3,4,4,3,1,0,0,".",".",".",".",".",".",".",6,6,6,6,5,6,6,".",".",".",".",".",".",".",1,2,2,1,1,1,1,".",".",".",".",".",".",".",3,1,1,3,3,4,3,".",".",".",".",".",".",".",0,0,0,2,0,0,2,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,2,4,1,1,1,1,2,".",".",23,7,10,8,21,10,14,14,9,22,9,10,12,29,14,27,11,11,14,16,"291"
"070",1,65,4,1,1,1,"28","..",65,1,1,1,"00","00",2,2,3,0,1,1,0,"00","00","00","000","000",2,4,3,"..","..","..","..","..","..",4,2,2,".",".",".",2,1,1,".",".",".",0,3,1,1,0,1,1,1,1,1,".",".",".",".",".",".",".",".",".",62,77,73,68,43,"..","..","..","..","..","..","..","..","..",5,3,4,1,2,".",".",".",".",".",".",".",".",".",1,1,1,1,1,".",".",".",".",".",".",".",".",".",2,2,2,1,3,".",".",".",".",".",".",".",".",".",1,0,0,0,2,".",".",".",".",".",".",".",".",".",3,2,2,3,0,".",".",".",".",".",".",".",".",".",5,5,5,2,6,".",".",".",".",".",".",".",".",".",1,1,1,1,1,".",".",".",".",".",".",".",".",".",4,3,1,1,3,".",".",".",".",".",".",".",".",".",0,0,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,".",".",".",2,1,2,2,2,".",".",25,16,11,26,28,19,24,26,11,32,20,12,7,27,28,30,18,8,17,25,"410"
"071",0,58,12,3,1,1,"26","..",58,2,3,1,"17","04",2,0,3,1,4,3,0,"00","00","00","000","000",2,".",0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,2,3,0,0,0,0,0,0,1,0,1,0,1,".",".",".",60,60,60,60,58,52,53,"56","40",54,54,".","..","..",1,1,2,4,1,1,1,1,1,1,1,".",".",".",2,2,2,2,1,3,4,3,2,1,1,".",".",".",5,5,5,2,2,2,1,1,1,3,3,".",".",".",4,4,5,3,3,5,5,3,3,5,3,".",".",".",4,4,3,5,4,5,4,4,4,0,0,".",".",".",5,1,1,1,5,0,6,1,3,1,0,".",".",".",1,1,1,1,1,1,1,1,1,1,1,".",".",".",1,1,1,3,4,1,4,2,2,1,3,".",".",".",3,2,3,0,3,3,1,8,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,".",1,".",".",".",".",".",".",16,9,14,11,20,14,14,20,9,17,15,17,14,10,8,16,16,15,18,20,"293"
"072",0,79,4,1,1,1,"03","..",79,2,2,1,"04","04",1,1,4,1,4,3,4,"00","00","00","000","000",1,1,4,"48","38","33","33","..","..",3,4,4,4,".",".",1,1,1,1,".",".",4,2,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,".",".",60,65,83,60,82,77,88,"90","79",68,65,68,"..","..",1,1,1,1,1,1,1,1,1,1,1,1,".",".",2,2,2,2,2,3,3,1,1,2,2,3,".",".",4,4,4,4,2,2,1,1,1,3,3,3,".",".",1,1,1,1,2,2,5,1,1,1,1,5,".",".",2,3,4,3,4,4,4,4,4,0,0,0,".",".",1,1,0,0,1,1,1,0,0,1,6,5,".",".",1,2,2,2,1,1,1,1,1,1,1,1,".",".",3,2,1,1,1,3,4,4,4,3,3,4,".",".",0,0,0,0,3,0,2,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,3,1,2,1,1,1,2,3,3,13,9,8,9,9,6,8,8,5,9,8,8,5,12,8,7,7,2,11,12,"164"
"073",1,56,17,4,3,1,"23","16",40,3,3,1,"04","04",2,3,4,2,3,4,4,"02","00","00","000","002",1,4,2,"37","33","..","..","..","..",4,5,".",".",".",".",1,2,".",".",".",".",4,3,3,2,3,1,0,1,1,1,1,1,0,0,1,1,0,".",".",42,38,54,40,54,42,50,"53","40",38,75,45,"..","..",3,3,3,1,5,4,3,3,1,4,1,1,".",".",3,3,3,3,4,3,4,3,3,1,1,".",".",".",5,5,4,5,2,2,2,1,1,1,3,3,".",".",3,5,3,5,5,4,5,3,3,5,3,3,".",".",4,1,4,4,5,1,5,3,5,5,0,0,".",".",5,5,5,5,4,4,1,4,4,4,3,1,".",".",2,2,2,1,1,1,1,1,1,1,2,2,".",".",1,1,1,1,3,1,3,1,3,3,4,3,".",".",2,0,0,2,2,0,2,8,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,".",2,1,1,1,2,2,2,31,23,24,21,22,23,21,19,17,22,24,23,17,19,22,26,26,26,25,36,"467"
"074",0,46,8,4,1,1,"19","..",46,2,2,1,"04","04",2,1,3,1,3,4,0,"15","00","00","000","015",1,3,2,"14","10","..","..","..","..",1,1,".",".",".",".",1,1,".",".",".",".",3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,".",".",53,55,47,47,47,56,48,"73","60",42,63,47,"..","..",3,2,1,1,1,1,1,1,1,3,1,1,".",".",2,2,2,2,3,2,3,1,1,1,1,1,".",".",5,5,5,2,2,2,1,1,1,3,2,2,".",".",2,3,3,3,4,3,5,3,2,1,1,1,".",".",5,3,3,5,5,5,5,5,3,1,0,0,".",".",6,4,4,2,2,1,1,3,1,6,6,6,".",".",1,1,1,2,2,1,2,1,2,2,2,2,".",".",1,1,1,2,2,1,2,4,2,2,4,2,".",".",0,0,1,0,1,3,3,8,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,".",2,1,1,1,1,3,3,18,20,14,16,21,14,16,19,12,20,13,19,10,21,11,23,14,19,15,14,"329"
"075",1,61,17,4,2,1,"25","12",49,3,1,1,"04","04",2,2,3,1,4,4,0,"00","00","00","000","000",2,3,1,"26","..","..","..","..","..",5,".",".",".",".",".",1,".",".",".",".",".",3,3,3,3,2,0,0,1,1,1,0,1,1,1,1,1,1,".",".",40,45,52,67,54,58,60,"27","23",58,57,58,"..","..",1,2,4,1,3,2,2,1,1,2,1,3,".",".",3,3,3,3,2,2,2,4,".",1,1,1,".",".",4,4,5,5,2,2,1,1,1,3,3,3,".",".",4,4,4,4,3,3,2,5,5,1,1,1,".",".",4,4,2,4,4,4,2,2,2,0,0,0,".",".",5,5,5,4,4,2,6,4,4,2,3,4,".",".",1,1,1,1,1,1,1,1,1,1,1,1,".",".",3,1,1,4,4,2,3,4,1,1,1,1,".",".",0,0,0,2,1,0,3,8,2,1,1,1,1,1,1,1,9,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,3,3,2,1,1,1,1,".",".",20,21,17,12,27,14,13,19,12,18,15,8,11,21,16,14,16,9,17,16,"316"
"076",1,67,17,4,1,1,"23","..",67,4,3,3,"12","15",1,3,4,1,4,3,4,"02","00","00","000","002",1,3,2,"39","37","..","..","..","..",5,5,".",".",".",".",1,1,".",".",".",".",2,3,1,1,1,1,1,1,1,1,0,1,".",".",".",".",".",".",".",69,66,69,67,66,65,66,"..","..","..","..","..","..","..",4,1,1,1,4,3,1,".",".",".",".",".",".",".",4,4,1,1,2,3,1,".",".",".",".",".",".",".",5,4,2,2,2,1,3,".",".",".",".",".",".",".",5,5,3,3,3,4,3,".",".",".",".",".",".",".",1,4,3,4,3,5,1,".",".",".",".",".",".",".",4,3,5,2,4,1,4,".",".",".",".",".",".",".",1,2,1,1,1,2,2,".",".",".",".",".",".",".",4,2,4,3,3,3,1,".",".",".",".",".",".",".",0,0,0,0,0,0,3,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,4,".",2,1,2,1,2,2,2,24,18,16,18,26,17,15,19,15,13,18,17,14,29,19,22,21,14,23,17,"375"
"077",0,25,17,4,1,1,"25",,25,4,3,3,"17","17",2,1,4,2,4,4,1,"10","04","00","002","016",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",1,3,3,0,2,0,0,0,0,0,0,1,1,1,".",".",".",".",".",28,24,30,25,25,26,90,"60","29","..","..","..","..","..",3,3,1,1,1,1,4,1,1,".",".",".",".",".",4,4,4,4,4,4,1,3,4,".",".",".",".",".",5,5,4,2,2,2,1,1,1,".",".",".",".",".",5,5,5,5,5,5,2,5,5,".",".",".",".",".",2,5,5,2,3,5,2,2,3,".",".",".",".",".",5,3,5,3,3,1,3,3,4,".",".",".",".",".",2,2,2,1,1,1,2,1,1,".",".",".",".",".",1,3,3,3,4,3,4,4,3,".",".",".",".",".",0,0,0,4,4,0,3,4,2,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,3,1,2,1,1,1,2,".",".",28,21,15,15,26,16,9,18,11,25,19,18,12,31,21,22,28,24,14,29,"402"
"096",0,55,14,4,3,1,"24","17",38,3,1,1,"06","06",3,1,2,2,4,4,4,"10","05","00","000","015",1,1,3,"30","26","23","..","..","..",3,3,4,".",".",".",1,1,1,".",".",".",4,3,4,4,0,0,0,1,0,0,".",".",".",".",".",".",".",".",".",62,38,60,30,60,"..","..","..","..","..","..","..","..","..",1,1,3,1,1,".",".",".",".",".",".",".",".",".",1,1,1,4,3,".",".",".",".",".",".",".",".",".",2,4,1,2,4,".",".",".",".",".",".",".",".",".",4,3,2,5,5,".",".",".",".",".",".",".",".",".",3,4,3,3,5,".",".",".",".",".",".",".",".",".",4,5,4,3,6,".",".",".",".",".",".",".",".",".",1,1,1,1,1,".",".",".",".",".",".",".",".",".",2,1,4,2,1,".",".",".",".",".",".",".",".",".",2,0,2,3,1,0,2,5,3,2,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,".",2,1,1,1,1,3,3,35,25,20,21,30,22,21,28,13,26,28,13,12,39,24,21,20,28,26,24,"476"
"097",1,68,4,4,1,1,"30","..",68,1,1,1,"00","00",2,0,3,0,4,1,3,"..","..","..","…","…",1,1,4,"50","48","40","38","..","..",5,5,5,5,".",".",1,1,1,1,".",".",0,3,4,1,0,1,0,1,1,1,1,1,1,1,".",".",".",".",".",65,70,63,80,71,71,58,"48","38","..","..","..","..","..",2,2,2,2,1,1,1,1,1,".",".",".",".",".",2,1,1,1,1,1,1,4,3,".",".",".",".",".",2,2,2,1,1,1,1,1,1,".",".",".",".",".",2,2,1,1,2,2,1,5,5,".",".",".",".",".",5,5,1,3,1,4,4,0,0,".",".",".",".",".",1,1,5,3,4,1,1,4,3,".",".",".",".",".",1,1,2,1,1,1,1,1,1,".",".",".",".",".",3,3,1,1,3,2,2,3,3,".",".",".",".",".",0,0,1,0,3,0,3,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,".",".",2,1,".",".",".",2,2,15,20,17,15,18,17,18,21,11,11,20,8,12,14,9,8,11,11,16,11,"283"
